ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Easter,Easter_lower,Easter_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,NewYear,NewYear_lower,NewYear_upper,Ramadan starts,Ramadan starts_lower,Ramadan starts_upper,SuperBowl,SuperBowl_lower,SuperBowl_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-29,79713.35442552756,90128.85229127282,115680.32189978534,79713.35442552756,79713.35442552756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22832.665515153658,22832.665515153658,22832.665515153658,0.0,0.0,0.0,24958.733928211772,24958.733928211772,24958.733928211772,-2126.06841305811,-2126.06841305811,-2126.06841305811,0.0,0.0,0.0,102546.01994068122
2011-01-30,79770.23916286479,91802.02090863443,117426.68344229151,79770.23916286479,79770.23916286479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24722.161875411344,24722.161875411344,24722.161875411344,0.0,0.0,0.0,26244.706221756536,26244.706221756536,26244.706221756536,-1522.5443463451925,-1522.5443463451925,-1522.5443463451925,0.0,0.0,0.0,104492.40103827613
2011-01-31,79827.123900202,59964.2324539531,85939.70653869465,79827.123900202,79827.123900202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7113.434270323484,-7113.434270323484,-7113.434270323484,0.0,0.0,0.0,-6205.78784696914,-6205.78784696914,-6205.78784696914,-907.646423354344,-907.646423354344,-907.646423354344,0.0,0.0,0.0,72713.68962987851
2011-02-01,79884.00863753923,52861.64062560935,77708.17417790435,79884.00863753923,79884.00863753923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14546.144401938129,-14546.144401938129,-14546.144401938129,0.0,0.0,0.0,-14257.707433398196,-14257.707433398196,-14257.707433398196,-288.4369685399306,-288.4369685399306,-288.4369685399306,0.0,0.0,0.0,65337.8642356011
2011-02-02,79940.89337487645,52533.26219199105,77170.93798317162,79940.89337487645,79940.89337487645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15194.653357214316,-15194.653357214316,-15194.653357214316,0.0,0.0,0.0,-15522.66443645488,-15522.66443645488,-15522.66443645488,328.0110792405636,328.0110792405636,328.0110792405636,0.0,0.0,0.0,64746.24001766214
2011-02-03,79997.77811221367,53183.57553946258,79105.70575801683,79997.77811221367,79997.77811221367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13530.37088686194,-13530.37088686194,-13530.37088686194,0.0,0.0,0.0,-14465.10401493662,-14465.10401493662,-14465.10401493662,934.7331280746814,934.7331280746814,934.7331280746814,0.0,0.0,0.0,66467.40722535172
2011-02-04,80054.66284955089,67700.84841781863,93145.20566909849,80054.66284955089,80054.66284955089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.8122667284025,772.8122667284025,772.8122667284025,0.0,0.0,0.0,-752.1764181931132,-752.1764181931132,-752.1764181931132,1524.9886849215156,1524.9886849215156,1524.9886849215156,0.0,0.0,0.0,80827.4751162793
2011-02-05,80111.5475868881,94493.26269419493,118800.5016040359,80111.5475868881,80111.5475868881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27051.10556226806,27051.10556226806,27051.10556226806,0.0,0.0,0.0,24958.73392819796,24958.73392819796,24958.73392819796,2092.371634070104,2092.371634070104,2092.371634070104,0.0,0.0,0.0,107162.65314915616
2011-02-06,80168.43232422533,93195.02509321379,119579.8068206543,80168.43232422533,80168.43232422533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2538.976565900557,-2538.976565900557,-2538.976565900557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26336.64256379224,26336.64256379224,26336.64256379224,-2538.976565900557,-2538.976565900557,-2538.976565900557,26244.706221750614,26244.706221750614,26244.706221750614,2630.91290794218,2630.91290794218,2630.91290794218,0.0,0.0,0.0,106505.07488801757
2011-02-07,80225.31706156254,64133.586793473136,88417.24242411082,80225.31706156254,80225.31706156254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-527.6182410007998,-527.6182410007998,-527.6182410007998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3598.232495227974,-3598.232495227974,-3598.232495227974,-527.6182410007998,-527.6182410007998,-527.6182410007998,-6205.787846988249,-6205.787846988249,-6205.787846988249,3135.173592761075,3135.173592761075,3135.173592761075,0.0,0.0,0.0,76627.08456633457
2011-02-08,80282.20179889977,57376.32620169767,81638.38212434544,80282.20179889977,80282.20179889977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10657.38070246784,-10657.38070246784,-10657.38070246784,0.0,0.0,0.0,-14257.707433393973,-14257.707433393973,-14257.707433393973,3600.3267309261305,3600.3267309261305,3600.3267309261305,0.0,0.0,0.0,69624.82109643193
