ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Easter,Easter_lower,Easter_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,NewYear,NewYear_lower,NewYear_upper,Ramadan starts,Ramadan starts_lower,Ramadan starts_upper,SuperBowl,SuperBowl_lower,SuperBowl_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-29,23756.138524688497,26947.065842778557,34082.269482714975,23756.138524688497,23756.138524688497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6496.524792534521,6496.524792534521,6496.524792534521,0.0,0.0,0.0,7079.201371893181,7079.201371893181,7079.201371893181,-582.676579358659,-582.676579358659,-582.676579358659,0.0,0.0,0.0,30252.663317223018
2011-01-30,23767.659261603043,26698.974827703827,33860.7217222289,23767.659261603043,23767.659261603043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6446.02693290269,6446.02693290269,6446.02693290269,0.0,0.0,0.0,6879.574605572057,6879.574605572057,6879.574605572057,-433.54767266936926,-433.54767266936926,-433.54767266936926,0.0,0.0,0.0,30213.68619450573
2011-01-31,23779.179998517586,18184.142459610277,25213.129189463347,23779.179998517586,23779.179998517586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2135.9455946349185,-2135.9455946349185,-2135.9455946349185,0.0,0.0,0.0,-1852.8781205068483,-1852.8781205068483,-1852.8781205068483,-283.06747412807005,-283.06747412807005,-283.06747412807005,0.0,0.0,0.0,21643.234403882667
2011-02-01,23790.700735432132,16427.800355905692,23278.295599740046,23790.700735432132,23790.700735432132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4039.2529245376218,-4039.2529245376218,-4039.2529245376218,0.0,0.0,0.0,-3906.2359404520244,-3906.2359404520244,-3906.2359404520244,-133.01698408559741,-133.01698408559741,-133.01698408559741,0.0,0.0,0.0,19751.44781089451
2011-02-02,23802.221472346675,15881.816867929692,23012.283311768915,23802.221472346675,23802.221472346675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4261.471134843594,-4261.471134843594,-4261.471134843594,0.0,0.0,0.0,-4276.3033888456985,-4276.3033888456985,-4276.3033888456985,14.832254002104323,14.832254002104323,14.832254002104323,0.0,0.0,0.0,19540.75033750308
2011-02-03,23813.74220926122,16426.086506123782,23607.604284935966,23813.74220926122,23813.74220926122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3775.459382877412,-3775.459382877412,-3775.459382877412,0.0,0.0,0.0,-3934.2073716989735,-3934.2073716989735,-3934.2073716989735,158.74798882156156,158.74798882156156,158.74798882156156,0.0,0.0,0.0,20038.28282638381
2011-02-04,23825.262946175764,20554.670537630114,27708.47953945333,23825.262946175764,23825.262946175764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.9150471908286,307.9150471908286,307.9150471908286,0.0,0.0,0.0,10.848844041362288,10.848844041362288,10.848844041362288,297.06620314946633,297.06620314946633,297.06620314946633,0.0,0.0,0.0,24133.177993366593
2011-02-05,23836.78368309031,27648.17321689057,35014.28804578342,23836.78368309031,23836.78368309031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7507.419991676419,7507.419991676419,7507.419991676419,0.0,0.0,0.0,7079.201371889785,7079.201371889785,7079.201371889785,428.2186197866347,428.2186197866347,428.2186197866347,0.0,0.0,0.0,31344.20367476673
2011-02-06,23848.304420004853,27864.4925154529,34918.917584051254,23848.304420004853,23848.304420004853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.58527851139577,-39.58527851139577,-39.58527851139577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7390.747586481197,7390.747586481197,7390.747586481197,-39.58527851139577,-39.58527851139577,-39.58527851139577,6879.574605570373,6879.574605570373,6879.574605570373,550.7582594222202,550.7582594222202,550.7582594222202,0.0,0.0,0.0,31239.05200648605
2011-02-07,23859.8251569194,19063.183805026027,26424.29635242223,23859.8251569194,23859.8251569194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.43991595537252,18.43991595537252,18.43991595537252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1171.0556250918228,-1171.0556250918228,-1171.0556250918228,18.43991595537252,18.43991595537252,18.43991595537252,-1852.8781205119635,-1852.8781205119635,-1852.8781205119635,663.382579464768,663.382579464768,663.382579464768,0.0,0.0,0.0,22688.769531827576
