,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
0,ACCESORIES_1_001,600,1,6.398594934535208,0.6931471805599453,Cluster 4,New Items
1,ACCESORIES_1_002,493,5,6.202535517187923,1.791759469228055,Cluster 0,Emerging/Fading Items
2,ACCESORIES_1_003,288,1,5.666426688112432,0.6931471805599453,Cluster 4,New Items
3,ACCESORIES_1_004,3288,1,8.098338846189057,0.6931471805599453,Cluster 1,Common Items
4,ACCESORIES_1_005,1849,1,7.52294091807237,0.6931471805599453,Cluster 1,Common Items
5,ACCESORIES_1_006,1642,3,7.404279118037268,1.3862943611198906,Cluster 1,Common Items
6,ACCESORIES_1_007,424,1,6.052089168924417,0.6931471805599453,Cluster 4,New Items
7,ACCESORIES_1_008,13830,1,9.534667728624708,0.6931471805599453,Cluster 2,Hot Items
8,ACCESORIES_1_009,2269,6,7.727535110475448,1.9459101490553132,Cluster 0,Emerging/Fading Items
9,ACCESORIES_1_010,1376,1,7.227662498728654,0.6931471805599453,Cluster 1,Common Items
10,ACCESORIES_1_011,142,8,4.962844630259907,2.1972245773362196,Cluster 0,Emerging/Fading Items
11,ACCESORIES_1_012,754,4,6.626717749249025,1.6094379124341003,Cluster 0,Emerging/Fading Items
12,ACCESORIES_1_013,493,1,6.202535517187923,0.6931471805599453,Cluster 4,New Items
13,ACCESORIES_1_014,2398,1,7.782807262839695,0.6931471805599453,Cluster 1,Common Items
14,ACCESORIES_1_015,11602,1,9.359018964347545,0.6931471805599453,Cluster 2,Hot Items
15,ACCESORIES_1_016,10575,1,9.266342562091468,0.6931471805599453,Cluster 2,Hot Items
16,ACCESORIES_1_017,2009,1,7.605890001053122,0.6931471805599453,Cluster 1,Common Items
17,ACCESORIES_1_018,88,91,4.48863636973214,4.5217885770490405,Cluster 3,Bad/Old Items
18,ACCESORIES_1_019,9052,1,9.11085147347544,0.6931471805599453,Cluster 2,Hot Items
19,ACCESORIES_1_020,615,9,6.423246963533519,2.302585092994046,Cluster 0,Emerging/Fading Items
20,ACCESORIES_1_021,1262,2,7.141245122350491,1.0986122886681098,Cluster 1,Common Items
21,ACCESORIES_1_022,653,4,6.483107351457199,1.6094379124341003,Cluster 0,Emerging/Fading Items
22,ACCESORIES_1_023,2149,1,7.673223121121708,0.6931471805599453,Cluster 1,Common Items
23,ACCESORIES_1_024,467,3,6.148468295917647,1.3862943611198906,Cluster 4,New Items
24,ACCESORIES_1_025,907,1,6.811244378601294,0.6931471805599453,Cluster 1,Common Items
25,ACCESORIES_1_026,21,2,3.091042453358316,1.0986122886681098,Cluster 4,New Items
26,ACCESORIES_1_027,368,2,5.910796644040527,1.0986122886681098,Cluster 4,New Items
27,ACCESORIES_1_028,1341,1,7.201916317531627,0.6931471805599453,Cluster 1,Common Items
28,ACCESORIES_1_029,2813,1,7.942362237674335,0.6931471805599453,Cluster 1,Common Items
29,ACCESORIES_1_030,5599,1,8.630521876723241,0.6931471805599453,Cluster 2,Hot Items
30,ACCESORIES_1_031,671,17,6.51025834052315,2.8903717578961645,Cluster 0,Emerging/Fading Items
31,ACCESORIES_1_032,10642,1,9.272657678041044,0.6931471805599453,Cluster 2,Hot Items
32,ACCESORIES_1_033,322,10,5.777652323222656,2.3978952727983707,Cluster 0,Emerging/Fading Items
33,ACCESORIES_1_034,924,7,6.829793737512425,2.0794415416798357,Cluster 0,Emerging/Fading Items
34,ACCESORIES_1_035,268,11,5.594711379601839,2.4849066497880004,Cluster 0,Emerging/Fading Items
35,ACCESORIES_1_036,1228,1,7.113956109566034,0.6931471805599453,Cluster 1,Common Items
36,ACCESORIES_1_037,1445,2,7.27655640271871,1.0986122886681098,Cluster 1,Common Items
37,ACCESORIES_1_038,756,1,6.6293632534374485,0.6931471805599453,Cluster 4,New Items
38,ACCESORIES_1_039,197,7,5.288267030694535,2.0794415416798357,Cluster 0,Emerging/Fading Items
39,ACCESORIES_1_040,1157,5,7.05444965813294,1.791759469228055,Cluster 0,Emerging/Fading Items
40,ACCESORIES_1_041,581,3,6.366470447731438,1.3862943611198906,Cluster 4,New Items
41,ACCESORIES_1_042,985,5,6.893656354602635,1.791759469228055,Cluster 0,Emerging/Fading Items
42,ACCESORIES_1_043,6290,9,8.74687531957003,2.302585092994046,Cluster 2,Hot Items
43,ACCESORIES_1_044,1821,1,7.507690077819904,0.6931471805599453,Cluster 1,Common Items
44,ACCESORIES_1_045,250,3,5.5254529391317835,1.3862943611198906,Cluster 4,New Items
45,ACCESORIES_1_046,333,1,5.811140992976701,0.6931471805599453,Cluster 4,New Items
46,ACCESORIES_1_047,2232,9,7.711101251840158,2.302585092994046,Cluster 0,Emerging/Fading Items
47,ACCESORIES_1_048,13867,1,9.537339306804913,0.6931471805599453,Cluster 2,Hot Items
48,ACCESORIES_1_049,592,3,6.385194398997726,1.3862943611198906,Cluster 4,New Items
49,ACCESORIES_1_050,1789,1,7.489970898834801,0.6931471805599453,Cluster 1,Common Items
