,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
18294,ACCESORIES_1_001,385,9,5.955837369464831,2.302585092994046,Cluster 0,Emerging/Fading Items
18295,ACCESORIES_1_002,358,1,5.883322388488279,0.6931471805599453,Cluster 4,New Items
18296,ACCESORIES_1_003,178,7,5.187385805840755,2.0794415416798357,Cluster 0,Emerging/Fading Items
18297,ACCESORIES_1_004,3174,1,8.063062911326792,0.6931471805599453,Cluster 1,Common Items
18298,ACCESORIES_1_005,1002,1,6.910750787961936,0.6931471805599453,Cluster 1,Common Items
18299,ACCESORIES_1_006,605,1,6.406879986069314,0.6931471805599453,Cluster 4,New Items
18300,ACCESORIES_1_007,205,1,5.327876168789581,0.6931471805599453,Cluster 4,New Items
18301,ACCESORIES_1_008,4930,1,8.503297086224126,0.6931471805599453,Cluster 2,Hot Items
18302,ACCESORIES_1_009,1034,16,6.942156705699469,2.833213344056216,Cluster 0,Emerging/Fading Items
18303,ACCESORIES_1_010,915,3,6.82001636467413,1.3862943611198906,Cluster 4,New Items
18304,ACCESORIES_1_011,313,3,5.749392985908253,1.3862943611198906,Cluster 4,New Items
18305,ACCESORIES_1_012,508,2,6.2324480165505225,1.0986122886681098,Cluster 4,New Items
18306,ACCESORIES_1_013,254,1,5.541263545158426,0.6931471805599453,Cluster 4,New Items
18307,ACCESORIES_1_014,3871,1,8.261526448396468,0.6931471805599453,Cluster 1,Common Items
18308,ACCESORIES_1_015,7900,1,8.974744612722734,0.6931471805599453,Cluster 2,Hot Items
18309,ACCESORIES_1_016,3480,11,8.15507488781144,2.4849066497880004,Cluster 0,Emerging/Fading Items
18310,ACCESORIES_1_017,1083,6,6.988413181999592,1.9459101490553132,Cluster 0,Emerging/Fading Items
18311,ACCESORIES_1_018,161,2,5.087596335232384,1.0986122886681098,Cluster 4,New Items
18312,ACCESORIES_1_019,473,4,6.161207321695077,1.6094379124341003,Cluster 0,Emerging/Fading Items
18313,ACCESORIES_1_020,104,11,4.653960350157523,2.4849066497880004,Cluster 0,Emerging/Fading Items
18314,ACCESORIES_1_021,950,2,6.85751406254539,1.0986122886681098,Cluster 1,Common Items
18315,ACCESORIES_1_022,554,2,6.318968113746434,1.0986122886681098,Cluster 4,New Items
18316,ACCESORIES_1_023,4804,1,8.477412321404392,0.6931471805599453,Cluster 2,Hot Items
18317,ACCESORIES_1_024,90,7,4.51085950651685,2.0794415416798357,Cluster 0,Emerging/Fading Items
18318,ACCESORIES_1_025,736,1,6.602587892189336,0.6931471805599453,Cluster 4,New Items
18319,ACCESORIES_1_026,242,1,5.493061443340548,0.6931471805599453,Cluster 4,New Items
18320,ACCESORIES_1_027,116,7,4.762173934797756,2.0794415416798357,Cluster 0,Emerging/Fading Items
18321,ACCESORIES_1_028,640,1,6.46302945692067,0.6931471805599453,Cluster 4,New Items
18322,ACCESORIES_1_029,2698,1,7.900636613018005,0.6931471805599453,Cluster 1,Common Items
18323,ACCESORIES_1_030,2419,4,7.791522819150732,1.6094379124341003,Cluster 1,Common Items
18324,ACCESORIES_1_031,466,1,6.1463292576688975,0.6931471805599453,Cluster 4,New Items
18325,ACCESORIES_1_032,1820,2,7.507141079727608,1.0986122886681098,Cluster 1,Common Items
18326,ACCESORIES_1_033,146,5,4.990432586778736,1.791759469228055,Cluster 0,Emerging/Fading Items
18327,ACCESORIES_1_034,1686,1,7.430707082545968,0.6931471805599453,Cluster 1,Common Items
18328,ACCESORIES_1_035,250,8,5.5254529391317835,2.1972245773362196,Cluster 0,Emerging/Fading Items
18329,ACCESORIES_1_036,953,2,6.860663671448287,1.0986122886681098,Cluster 1,Common Items
18330,ACCESORIES_1_037,2586,1,7.8582541821860294,0.6931471805599453,Cluster 1,Common Items
18331,ACCESORIES_1_038,507,4,6.230481447578482,1.6094379124341003,Cluster 0,Emerging/Fading Items
18332,ACCESORIES_1_039,282,2,5.645446897643238,1.0986122886681098,Cluster 4,New Items
18333,ACCESORIES_1_040,2831,1,7.94873845481361,0.6931471805599453,Cluster 1,Common Items
18334,ACCESORIES_1_041,626,1,6.440946540632921,0.6931471805599453,Cluster 4,New Items
18335,ACCESORIES_1_042,290,1,5.673323267171493,0.6931471805599453,Cluster 4,New Items
18336,ACCESORIES_1_043,2745,2,7.917900586327916,1.0986122886681098,Cluster 1,Common Items
18337,ACCESORIES_1_044,698,9,6.54965074223381,2.302585092994046,Cluster 0,Emerging/Fading Items
18338,ACCESORIES_1_045,60,6,4.110873864173311,1.9459101490553132,Cluster 0,Emerging/Fading Items
18339,ACCESORIES_1_046,148,16,5.003946305945459,2.833213344056216,Cluster 0,Emerging/Fading Items
18340,ACCESORIES_1_047,1117,50,7.0192966537150445,3.9318256327243257,Cluster 3,Bad/Old Items
18341,ACCESORIES_1_048,6317,1,8.75115798136203,0.6931471805599453,Cluster 2,Hot Items
18342,ACCESORIES_1_049,352,1,5.8664680569332965,0.6931471805599453,Cluster 4,New Items
18343,ACCESORIES_1_050,698,1,6.54965074223381,0.6931471805599453,Cluster 4,New Items
18344,ACCESORIES_1_051,190,8,5.25227342804663,2.1972245773362196,Cluster 0,Emerging/Fading Items
18345,ACCESORIES_1_052,220,2,5.3981627015177525,1.0986122886681098,Cluster 4,New Items
18346,ACCESORIES_1_053,905,4,6.80903930604298,1.6094379124341003,Cluster 0,Emerging/Fading Items
18347,ACCESORIES_1_054,102,10,4.634728988229636,2.3978952727983707,Cluster 0,Emerging/Fading Items
18348,ACCESORIES_1_055,2052,10,7.627057417018934,2.3978952727983707,Cluster 0,Emerging/Fading Items
18349,ACCESORIES_1_056,2076,3,7.638679823876112,1.3862943611198906,Cluster 1,Common Items
18350,ACCESORIES_1_057,733,1,6.598509028614515,0.6931471805599453,Cluster 4,New Items
18351,ACCESORIES_1_058,241,8,5.488937726156687,2.1972245773362196,Cluster 0,Emerging/Fading Items
18352,ACCESORIES_1_060,498,3,6.212606095751519,1.3862943611198906,Cluster 4,New Items
18353,ACCESORIES_1_061,696,1,6.546785410760524,0.6931471805599453,Cluster 4,New Items
18354,ACCESORIES_1_062,134,61,4.90527477843843,4.127134385045092,Cluster 3,Bad/Old Items
18355,ACCESORIES_1_063,770,16,6.647688373563329,2.833213344056216,Cluster 0,Emerging/Fading Items
18356,ACCESORIES_1_064,3255,1,8.08825472712243,0.6931471805599453,Cluster 1,Common Items
18357,ACCESORIES_1_065,361,2,5.8916442118257715,1.0986122886681098,Cluster 4,New Items
18358,ACCESORIES_1_066,341,5,5.834810737062605,1.791759469228055,Cluster 0,Emerging/Fading Items
18359,ACCESORIES_1_067,837,1,6.731018100482083,0.6931471805599453,Cluster 4,New Items
18360,ACCESORIES_1_068,1062,6,6.968850378341948,1.9459101490553132,Cluster 0,Emerging/Fading Items
18361,ACCESORIES_1_069,62,4,4.143134726391533,1.6094379124341003,Cluster 0,Emerging/Fading Items
18362,ACCESORIES_1_070,297,8,5.697093486505405,2.1972245773362196,Cluster 0,Emerging/Fading Items
18363,ACCESORIES_1_072,628,4,6.444131256700441,1.6094379124341003,Cluster 0,Emerging/Fading Items
18364,ACCESORIES_1_073,1177,1,7.071573364211532,0.6931471805599453,Cluster 1,Common Items
18365,ACCESORIES_1_074,3732,1,8.224967478914584,0.6931471805599453,Cluster 1,Common Items
18366,ACCESORIES_1_075,473,2,6.161207321695077,1.0986122886681098,Cluster 4,New Items
18367,ACCESORIES_1_076,1786,2,7.488293515159428,1.0986122886681098,Cluster 1,Common Items
18368,ACCESORIES_1_077,123,6,4.820281565605037,1.9459101490553132,Cluster 0,Emerging/Fading Items
18369,ACCESORIES_1_078,1155,2,7.052721049232323,1.0986122886681098,Cluster 1,Common Items
18370,ACCESORIES_1_079,469,1,6.152732694704104,0.6931471805599453,Cluster 4,New Items
18371,ACCESORIES_1_080,1039,2,6.946975992135418,1.0986122886681098,Cluster 1,Common Items
18372,ACCESORIES_1_081,110,2,4.709530201312334,1.0986122886681098,Cluster 4,New Items
18373,ACCESORIES_1_082,462,1,6.137727054086234,0.6931471805599453,Cluster 4,New Items
18374,ACCESORIES_1_083,80,15,4.394449154672439,2.772588722239781,Cluster 0,Emerging/Fading Items
18375,ACCESORIES_1_084,1091,1,6.9957661563048505,0.6931471805599453,Cluster 1,Common Items
18376,ACCESORIES_1_085,769,1,6.646390514847729,0.6931471805599453,Cluster 4,New Items
18377,ACCESORIES_1_086,938,1,6.844815479208263,0.6931471805599453,Cluster 1,Common Items
18378,ACCESORIES_1_087,4205,1,8.344267356262645,0.6931471805599453,Cluster 1,Common Items
18379,ACCESORIES_1_088,556,3,6.322565239927284,1.3862943611198906,Cluster 4,New Items
18380,ACCESORIES_1_089,732,2,6.597145701886651,1.0986122886681098,Cluster 4,New Items
18381,ACCESORIES_1_090,569,1,6.345636360828596,0.6931471805599453,Cluster 4,New Items
18382,ACCESORIES_1_091,349,1,5.857933154483459,0.6931471805599453,Cluster 4,New Items
18383,ACCESORIES_1_092,891,1,6.79346613258001,0.6931471805599453,Cluster 1,Common Items
18384,ACCESORIES_1_093,182,1,5.209486152841421,0.6931471805599453,Cluster 4,New Items
18385,ACCESORIES_1_094,253,2,5.537334267018537,1.0986122886681098,Cluster 4,New Items
18386,ACCESORIES_1_095,835,1,6.728628613084702,0.6931471805599453,Cluster 4,New Items
18387,ACCESORIES_1_097,1088,3,6.9930151229329605,1.3862943611198906,Cluster 1,Common Items
18388,ACCESORIES_1_098,1860,1,7.528869256642251,0.6931471805599453,Cluster 1,Common Items
18389,ACCESORIES_1_099,1495,1,7.310550158534422,0.6931471805599453,Cluster 1,Common Items
18390,ACCESORIES_1_100,660,2,6.493753839851686,1.0986122886681098,Cluster 4,New Items
18391,ACCESORIES_1_102,87,1,4.477336814478207,0.6931471805599453,Cluster 4,New Items
18392,ACCESORIES_1_103,7380,1,8.906664409770052,0.6931471805599453,Cluster 2,Hot Items
18393,ACCESORIES_1_104,373,2,5.924255797414532,1.0986122886681098,Cluster 4,New Items
18394,ACCESORIES_1_105,1488,2,7.305860032684009,1.0986122886681098,Cluster 1,Common Items
18395,ACCESORIES_1_106,397,7,5.986452005284438,2.0794415416798357,Cluster 0,Emerging/Fading Items
18396,ACCESORIES_1_107,220,9,5.3981627015177525,2.302585092994046,Cluster 0,Emerging/Fading Items
18397,ACCESORIES_1_108,825,1,6.716594773520978,0.6931471805599453,Cluster 4,New Items
18398,ACCESORIES_1_109,1737,73,7.460490305825338,4.30406509320417,Cluster 3,Bad/Old Items
18399,ACCESORIES_1_110,210,2,5.351858133476067,1.0986122886681098,Cluster 4,New Items
18400,ACCESORIES_1_111,196,71,5.2832037287379885,4.276666119016055,Cluster 3,Bad/Old Items
18401,ACCESORIES_1_112,59,45,4.0943445622221,3.828641396489095,Cluster 3,Bad/Old Items
18402,ACCESORIES_1_113,325,1,5.786897381366708,0.6931471805599453,Cluster 4,New Items
18403,ACCESORIES_1_114,198,31,5.293304824724492,3.4657359027997265,Cluster 3,Bad/Old Items
18404,ACCESORIES_1_115,2064,1,7.632885505395133,0.6931471805599453,Cluster 1,Common Items
18405,ACCESORIES_1_116,1032,2,6.940222469119639,1.0986122886681098,Cluster 1,Common Items
18406,ACCESORIES_1_117,142,17,4.962844630259907,2.8903717578961645,Cluster 0,Emerging/Fading Items
18407,ACCESORIES_1_118,292,3,5.680172609017068,1.3862943611198906,Cluster 4,New Items
18408,ACCESORIES_1_119,368,2,5.910796644040527,1.0986122886681098,Cluster 4,New Items
18409,ACCESORIES_1_120,360,1,5.8888779583328805,0.6931471805599453,Cluster 4,New Items
18410,ACCESORIES_1_121,333,1,5.811140992976701,0.6931471805599453,Cluster 4,New Items
18411,ACCESORIES_1_122,434,15,6.075346031088684,2.772588722239781,Cluster 0,Emerging/Fading Items
18412,ACCESORIES_1_123,1510,6,7.32052696227274,1.9459101490553132,Cluster 0,Emerging/Fading Items
18413,ACCESORIES_1_124,764,2,6.639875833826536,1.0986122886681098,Cluster 4,New Items
18414,ACCESORIES_1_125,31,48,3.4657359027997265,3.8918202981106265,Cluster 3,Bad/Old Items
18415,ACCESORIES_1_126,156,3,5.056245805348308,1.3862943611198906,Cluster 4,New Items
18416,ACCESORIES_1_127,170,29,5.14166355650266,3.4011973816621555,Cluster 3,Bad/Old Items
18417,ACCESORIES_1_128,786,6,6.668228248417403,1.9459101490553132,Cluster 0,Emerging/Fading Items
18418,ACCESORIES_1_129,480,1,6.175867270105761,0.6931471805599453,Cluster 4,New Items
18419,ACCESORIES_1_130,400,8,5.993961427306569,2.1972245773362196,Cluster 0,Emerging/Fading Items
18420,ACCESORIES_1_131,3046,1,8.021912778985708,0.6931471805599453,Cluster 1,Common Items
18421,ACCESORIES_1_132,1127,1,7.028201432058005,0.6931471805599453,Cluster 1,Common Items
18422,ACCESORIES_1_133,687,2,6.5337888379333435,1.0986122886681098,Cluster 4,New Items
18423,ACCESORIES_1_134,2773,2,7.928045600874777,1.0986122886681098,Cluster 1,Common Items
18424,ACCESORIES_1_135,301,8,5.71042701737487,2.1972245773362196,Cluster 0,Emerging/Fading Items
18425,ACCESORIES_1_136,251,27,5.529429087511423,3.332204510175204,Cluster 3,Bad/Old Items
18426,ACCESORIES_1_137,627,1,6.4425401664681985,0.6931471805599453,Cluster 4,New Items
18427,ACCESORIES_1_138,433,7,6.073044534100405,2.0794415416798357,Cluster 0,Emerging/Fading Items
18428,ACCESORIES_1_139,379,1,5.940171252720432,0.6931471805599453,Cluster 4,New Items
18429,ACCESORIES_1_140,579,5,6.363028103540465,1.791759469228055,Cluster 0,Emerging/Fading Items
18430,ACCESORIES_1_141,1196,1,7.087573705557973,0.6931471805599453,Cluster 1,Common Items
18431,ACCESORIES_1_142,2906,1,7.9748769005588755,0.6931471805599453,Cluster 1,Common Items
18432,ACCESORIES_1_143,1493,1,7.309212365692763,0.6931471805599453,Cluster 1,Common Items
18433,ACCESORIES_1_144,393,18,5.976350909297934,2.9444389791664403,Cluster 0,Emerging/Fading Items
18434,ACCESORIES_1_145,376,1,5.932245187448011,0.6931471805599453,Cluster 4,New Items
18435,ACCESORIES_1_146,2204,2,7.6984827878809465,1.0986122886681098,Cluster 1,Common Items
18436,ACCESORIES_1_147,2764,1,7.9247959139564355,0.6931471805599453,Cluster 1,Common Items
18437,ACCESORIES_1_148,1578,2,7.364547014255642,1.0986122886681098,Cluster 1,Common Items
18438,ACCESORIES_1_149,611,2,6.416732282512326,1.0986122886681098,Cluster 4,New Items
18439,ACCESORIES_1_150,1119,3,7.02108396428914,1.3862943611198906,Cluster 1,Common Items
18440,ACCESORIES_1_151,939,1,6.84587987526405,0.6931471805599453,Cluster 1,Common Items
18441,ACCESORIES_1_152,461,2,6.135564891081739,1.0986122886681098,Cluster 4,New Items
18442,ACCESORIES_1_153,1705,3,7.441906728051625,1.3862943611198906,Cluster 1,Common Items
18443,ACCESORIES_1_154,1319,1,7.1853870155804165,0.6931471805599453,Cluster 1,Common Items
18444,ACCESORIES_1_155,827,4,6.71901315438526,1.6094379124341003,Cluster 0,Emerging/Fading Items
18445,ACCESORIES_1_156,561,2,6.331501849893691,1.0986122886681098,Cluster 4,New Items
18446,ACCESORIES_1_157,471,1,6.156978985585555,0.6931471805599453,Cluster 4,New Items
18447,ACCESORIES_1_158,8453,1,9.042394981126735,0.6931471805599453,Cluster 2,Hot Items
18448,ACCESORIES_1_159,403,12,6.0014148779611505,2.5649493574615367,Cluster 0,Emerging/Fading Items
18449,ACCESORIES_1_160,499,1,6.214608098422191,0.6931471805599453,Cluster 4,New Items
18450,ACCESORIES_1_161,317,4,5.762051382780177,1.6094379124341003,Cluster 0,Emerging/Fading Items
18451,ACCESORIES_1_162,375,2,5.929589143389895,1.0986122886681098,Cluster 4,New Items
18452,ACCESORIES_1_163,461,13,6.135564891081739,2.6390573296152584,Cluster 0,Emerging/Fading Items
18453,ACCESORIES_1_164,608,1,6.411818267709897,0.6931471805599453,Cluster 4,New Items
18454,ACCESORIES_1_165,274,6,5.616771097666572,1.9459101490553132,Cluster 0,Emerging/Fading Items
18455,ACCESORIES_1_166,1282,1,7.1569563646156364,0.6931471805599453,Cluster 1,Common Items
18456,ACCESORIES_1_167,4610,1,8.436200032206706,0.6931471805599453,Cluster 2,Hot Items
18457,ACCESORIES_1_168,693,1,6.542471960506805,0.6931471805599453,Cluster 4,New Items
18458,ACCESORIES_1_169,1192,2,7.084226422097916,1.0986122886681098,Cluster 1,Common Items
18459,ACCESORIES_1_170,78,18,4.3694478524670215,2.9444389791664403,Cluster 0,Emerging/Fading Items
18460,ACCESORIES_1_171,270,1,5.602118820879701,0.6931471805599453,Cluster 4,New Items
18461,ACCESORIES_1_172,721,9,6.582025138892826,2.302585092994046,Cluster 0,Emerging/Fading Items
18462,ACCESORIES_1_173,485,1,6.186208623900494,0.6931471805599453,Cluster 4,New Items
18463,ACCESORIES_1_174,267,1,5.5909869805108565,0.6931471805599453,Cluster 4,New Items
18464,ACCESORIES_1_175,140,23,4.948759890378168,3.1780538303479458,Cluster 3,Bad/Old Items
18465,ACCESORIES_1_176,503,2,6.222576268071369,1.0986122886681098,Cluster 4,New Items
18466,ACCESORIES_1_177,1111,2,7.013915474810528,1.0986122886681098,Cluster 1,Common Items
18467,ACCESORIES_1_178,6458,1,8.773229786032473,0.6931471805599453,Cluster 2,Hot Items
18468,ACCESORIES_1_179,1775,1,7.4821189235521155,0.6931471805599453,Cluster 1,Common Items
18469,ACCESORIES_1_180,71,199,4.276666119016055,5.298317366548036,Cluster 3,Bad/Old Items
18470,ACCESORIES_1_181,100,23,4.61512051684126,3.1780538303479458,Cluster 0,Emerging/Fading Items
18471,ACCESORIES_1_183,884,4,6.785587645007929,1.6094379124341003,Cluster 0,Emerging/Fading Items
18472,ACCESORIES_1_184,72,5,4.290459441148391,1.791759469228055,Cluster 0,Emerging/Fading Items
18473,ACCESORIES_1_185,463,3,6.139884552226255,1.3862943611198906,Cluster 4,New Items
18474,ACCESORIES_1_186,62,10,4.143134726391533,2.3978952727983707,Cluster 0,Emerging/Fading Items
18475,ACCESORIES_1_187,470,8,6.154858094016418,2.1972245773362196,Cluster 0,Emerging/Fading Items
18476,ACCESORIES_1_188,200,11,5.303304908059076,2.4849066497880004,Cluster 0,Emerging/Fading Items
18477,ACCESORIES_1_189,3758,1,8.231908243564177,0.6931471805599453,Cluster 1,Common Items
18478,ACCESORIES_1_190,95,6,4.564348191467836,1.9459101490553132,Cluster 0,Emerging/Fading Items
18479,ACCESORIES_1_191,397,3,5.986452005284438,1.3862943611198906,Cluster 4,New Items
18480,ACCESORIES_1_192,48,161,3.8918202981106265,5.087596335232384,Cluster 3,Bad/Old Items
18481,ACCESORIES_1_193,1234,1,7.118826249062078,0.6931471805599453,Cluster 1,Common Items
18482,ACCESORIES_1_194,1754,2,7.470224135899966,1.0986122886681098,Cluster 1,Common Items
18483,ACCESORIES_1_195,532,2,6.278521424165844,1.0986122886681098,Cluster 4,New Items
18484,ACCESORIES_1_197,141,6,4.955827057601261,1.9459101490553132,Cluster 0,Emerging/Fading Items
18485,ACCESORIES_1_198,255,3,5.545177444479562,1.3862943611198906,Cluster 4,New Items
