,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
21343,ACCESORIES_1_001,178,1,5.187385805840755,0.6931471805599453,Cluster 4,New Items
21344,ACCESORIES_1_002,1143,1,7.042286171939743,0.6931471805599453,Cluster 1,Common Items
21345,ACCESORIES_1_003,176,1,5.176149732573829,0.6931471805599453,Cluster 4,New Items
21346,ACCESORIES_1_004,905,2,6.80903930604298,1.0986122886681098,Cluster 4,New Items
21347,ACCESORIES_1_005,1324,1,7.1891677384203225,0.6931471805599453,Cluster 1,Common Items
21348,ACCESORIES_1_006,3517,1,8.165647925297504,0.6931471805599453,Cluster 1,Common Items
21349,ACCESORIES_1_007,567,2,6.342121418721152,1.0986122886681098,Cluster 4,New Items
21350,ACCESORIES_1_008,9051,1,9.110741006753427,0.6931471805599453,Cluster 2,Hot Items
21351,ACCESORIES_1_009,1579,1,7.365180126021013,0.6931471805599453,Cluster 1,Common Items
21352,ACCESORIES_1_010,1160,1,7.057036981697891,0.6931471805599453,Cluster 1,Common Items
21353,ACCESORIES_1_011,70,2,4.2626798770413155,1.0986122886681098,Cluster 4,New Items
21354,ACCESORIES_1_012,735,1,6.601230118728877,0.6931471805599453,Cluster 4,New Items
21355,ACCESORIES_1_013,616,5,6.424869023905388,1.791759469228055,Cluster 0,Emerging/Fading Items
21356,ACCESORIES_1_014,4089,1,8.316300249036848,0.6931471805599453,Cluster 1,Common Items
21357,ACCESORIES_1_015,4529,2,8.41847721847708,1.0986122886681098,Cluster 2,Hot Items
21358,ACCESORIES_1_016,5388,1,8.592115117933497,0.6931471805599453,Cluster 2,Hot Items
21359,ACCESORIES_1_017,1477,1,7.298445101508147,0.6931471805599453,Cluster 1,Common Items
21360,ACCESORIES_1_018,147,2,4.997212273764115,1.0986122886681098,Cluster 4,New Items
21361,ACCESORIES_1_019,4970,1,8.511376306094673,0.6931471805599453,Cluster 2,Hot Items
21362,ACCESORIES_1_020,994,1,6.902742737158593,0.6931471805599453,Cluster 1,Common Items
21363,ACCESORIES_1_021,384,2,5.953243334287785,1.0986122886681098,Cluster 4,New Items
21364,ACCESORIES_1_022,776,1,6.655440350367647,0.6931471805599453,Cluster 4,New Items
21365,ACCESORIES_1_023,339,8,5.8289456176102075,2.1972245773362196,Cluster 0,Emerging/Fading Items
21366,ACCESORIES_1_024,766,2,6.642486801367256,1.0986122886681098,Cluster 4,New Items
21367,ACCESORIES_1_025,1088,2,6.9930151229329605,1.0986122886681098,Cluster 1,Common Items
21368,ACCESORIES_1_026,762,2,6.637258031284457,1.0986122886681098,Cluster 4,New Items
21369,ACCESORIES_1_027,431,8,6.068425588244111,2.1972245773362196,Cluster 0,Emerging/Fading Items
21370,ACCESORIES_1_028,803,1,6.6895992691789665,0.6931471805599453,Cluster 4,New Items
21371,ACCESORIES_1_029,656,1,6.48768401848461,0.6931471805599453,Cluster 4,New Items
21372,ACCESORIES_1_030,1755,2,7.470793774195062,1.0986122886681098,Cluster 1,Common Items
21373,ACCESORIES_1_031,526,1,6.267200548541362,0.6931471805599453,Cluster 4,New Items
21374,ACCESORIES_1_032,10357,1,9.245514446983837,0.6931471805599453,Cluster 2,Hot Items
21375,ACCESORIES_1_033,605,2,6.406879986069314,1.0986122886681098,Cluster 4,New Items
21376,ACCESORIES_1_034,388,1,5.963579343618446,0.6931471805599453,Cluster 4,New Items
21377,ACCESORIES_1_035,806,4,6.693323668269949,1.6094379124341003,Cluster 0,Emerging/Fading Items
21378,ACCESORIES_1_036,987,10,6.895682697747868,2.3978952727983707,Cluster 0,Emerging/Fading Items
21379,ACCESORIES_1_037,232,45,5.4510384535657,3.828641396489095,Cluster 3,Bad/Old Items
21380,ACCESORIES_1_038,491,4,6.198478716492308,1.6094379124341003,Cluster 0,Emerging/Fading Items
21381,ACCESORIES_1_039,99,16,4.605170185988092,2.833213344056216,Cluster 0,Emerging/Fading Items
21382,ACCESORIES_1_040,697,4,6.548219102762372,1.6094379124341003,Cluster 0,Emerging/Fading Items
21383,ACCESORIES_1_041,732,15,6.597145701886651,2.772588722239781,Cluster 0,Emerging/Fading Items
21384,ACCESORIES_1_042,1387,2,7.23561914106675,1.0986122886681098,Cluster 1,Common Items
21385,ACCESORIES_1_043,4019,3,8.299037181613066,1.3862943611198906,Cluster 1,Common Items
21386,ACCESORIES_1_044,592,16,6.385194398997726,2.833213344056216,Cluster 0,Emerging/Fading Items
21387,ACCESORIES_1_045,152,4,5.030437921392435,1.6094379124341003,Cluster 0,Emerging/Fading Items
21388,ACCESORIES_1_046,130,6,4.875197323201151,1.9459101490553132,Cluster 0,Emerging/Fading Items
21389,ACCESORIES_1_047,1764,22,7.475905969367397,3.1354942159291497,Cluster 3,Bad/Old Items
21390,ACCESORIES_1_048,10198,1,9.230044955250518,0.6931471805599453,Cluster 2,Hot Items
21391,ACCESORIES_1_049,464,3,6.142037405587356,1.3862943611198906,Cluster 4,New Items
21392,ACCESORIES_1_050,1017,2,6.925595197110468,1.0986122886681098,Cluster 1,Common Items
21393,ACCESORIES_1_051,154,57,5.043425116919247,4.060443010546419,Cluster 3,Bad/Old Items
21394,ACCESORIES_1_052,67,8,4.219507705176107,2.1972245773362196,Cluster 0,Emerging/Fading Items
21395,ACCESORIES_1_053,73,2,4.30406509320417,1.0986122886681098,Cluster 4,New Items
