,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
15245,ACCESORIES_1_001,402,5,5.998936561946683,1.791759469228055,Cluster 0,Emerging/Fading Items
15246,ACCESORIES_1_002,300,1,5.707110264748875,0.6931471805599453,Cluster 4,New Items
15247,ACCESORIES_1_003,101,8,4.624972813284271,2.1972245773362196,Cluster 0,Emerging/Fading Items
15248,ACCESORIES_1_004,3570,1,8.18060094759445,0.6931471805599453,Cluster 1,Common Items
15249,ACCESORIES_1_005,2016,2,7.6093665379542115,1.0986122886681098,Cluster 1,Common Items
15250,ACCESORIES_1_006,920,1,6.825460036255307,0.6931471805599453,Cluster 1,Common Items
15251,ACCESORIES_1_007,269,4,5.598421958998375,1.6094379124341003,Cluster 0,Emerging/Fading Items
15252,ACCESORIES_1_008,10027,1,9.213136459278184,0.6931471805599453,Cluster 2,Hot Items
15253,ACCESORIES_1_009,1690,1,7.43307534889858,0.6931471805599453,Cluster 1,Common Items
15254,ACCESORIES_1_010,2014,1,7.608374474380783,0.6931471805599453,Cluster 1,Common Items
15255,ACCESORIES_1_011,252,16,5.53338948872752,2.833213344056216,Cluster 0,Emerging/Fading Items
15256,ACCESORIES_1_012,1145,1,7.044032897274685,0.6931471805599453,Cluster 1,Common Items
15257,ACCESORIES_1_013,412,2,6.023447592961033,1.0986122886681098,Cluster 4,New Items
15258,ACCESORIES_1_014,5359,1,8.586719254064848,0.6931471805599453,Cluster 2,Hot Items
15259,ACCESORIES_1_015,6504,1,8.780326390946605,0.6931471805599453,Cluster 2,Hot Items
15260,ACCESORIES_1_016,6118,1,8.71915396346254,0.6931471805599453,Cluster 2,Hot Items
15261,ACCESORIES_1_017,2549,1,7.843848638152472,0.6931471805599453,Cluster 1,Common Items
15262,ACCESORIES_1_018,162,16,5.093750200806762,2.833213344056216,Cluster 0,Emerging/Fading Items
15263,ACCESORIES_1_019,3697,2,8.21554741194707,1.0986122886681098,Cluster 1,Common Items
15264,ACCESORIES_1_020,365,2,5.902633333401366,1.0986122886681098,Cluster 4,New Items
15265,ACCESORIES_1_021,723,1,6.584791392385716,0.6931471805599453,Cluster 4,New Items
15266,ACCESORIES_1_022,884,1,6.785587645007929,0.6931471805599453,Cluster 4,New Items
15267,ACCESORIES_1_023,3687,1,8.212839584676484,0.6931471805599453,Cluster 1,Common Items
15268,ACCESORIES_1_024,293,1,5.683579767338681,0.6931471805599453,Cluster 4,New Items
15269,ACCESORIES_1_025,894,1,6.796823718274855,0.6931471805599453,Cluster 1,Common Items
15270,ACCESORIES_1_026,236,7,5.4680601411351315,2.0794415416798357,Cluster 0,Emerging/Fading Items
15271,ACCESORIES_1_027,151,6,5.0238805208462765,1.9459101490553132,Cluster 0,Emerging/Fading Items
15272,ACCESORIES_1_028,756,2,6.6293632534374485,1.0986122886681098,Cluster 4,New Items
15273,ACCESORIES_1_029,3163,1,8.059592328887545,0.6931471805599453,Cluster 1,Common Items
15274,ACCESORIES_1_030,2845,2,7.953669778649798,1.0986122886681098,Cluster 1,Common Items
15275,ACCESORIES_1_031,887,6,6.78897174299217,1.9459101490553132,Cluster 0,Emerging/Fading Items
15276,ACCESORIES_1_032,4712,1,8.45807992692373,0.6931471805599453,Cluster 2,Hot Items
15277,ACCESORIES_1_033,208,6,5.342334251964811,1.9459101490553132,Cluster 0,Emerging/Fading Items
15278,ACCESORIES_1_034,1735,2,7.459338895220296,1.0986122886681098,Cluster 1,Common Items
