,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
0,SUPERMARKET_3_703,57,1,4.060443010546419,0.6931471805599453,Cluster 4,New Items
1,ACCESORIES_2_015,127,22,4.852030263919617,3.1354942159291497,Cluster 0,Emerging/Fading Items
2,SUPERMARKET_2_086,4767,1,8.469682208745185,0.6931471805599453,Cluster 2,Hot Items
3,HOME_&_GARDEN_1_348,5752,1,8.657476736863293,0.6931471805599453,Cluster 2,Hot Items
4,ACCESORIES_1_165,712,1,6.569481420414296,0.6931471805599453,Cluster 4,New Items
5,ACCESORIES_1_185,1079,1,6.984716320118266,0.6931471805599453,Cluster 1,Common Items
6,SUPERMARKET_2_170,3942,1,8.279697133877628,0.6931471805599453,Cluster 1,Common Items
7,SUPERMARKET_3_775,2603,1,7.86480400332846,0.6931471805599453,Cluster 1,Common Items
8,HOME_&_GARDEN_1_024,727,1,6.590301048196686,0.6931471805599453,Cluster 4,New Items
9,HOME_&_GARDEN_2_284,2229,1,7.709756864454165,0.6931471805599453,Cluster 1,Common Items
10,HOME_&_GARDEN_2_340,399,2,5.991464547107982,1.0986122886681098,Cluster 4,New Items
11,ACCESORIES_1_359,416,2,6.0330862217988015,1.0986122886681098,Cluster 4,New Items
12,ACCESORIES_1_021,1086,1,6.99117688712121,0.6931471805599453,Cluster 1,Common Items
13,SUPERMARKET_1_176,1381,2,7.231287004327616,1.0986122886681098,Cluster 1,Common Items
14,SUPERMARKET_3_707,1948,10,7.575071699507561,2.3978952727983707,Cluster 0,Emerging/Fading Items
15,SUPERMARKET_3_708,3734,1,8.225503097566918,0.6931471805599453,Cluster 1,Common Items
16,SUPERMARKET_1_199,729,4,6.593044534142437,1.6094379124341003,Cluster 0,Emerging/Fading Items
17,SUPERMARKET_1_090,2223,1,7.707062655370473,0.6931471805599453,Cluster 1,Common Items
18,HOME_&_GARDEN_1_049,914,285,6.818924065275521,5.655991810819852,Cluster 3,Bad/Old Items
19,SUPERMARKET_3_511,12443,1,9.428993858017527,0.6931471805599453,Cluster 2,Hot Items
20,HOME_&_GARDEN_2_395,4187,2,8.339978571990427,1.0986122886681098,Cluster 1,Common Items
21,SUPERMARKET_3_336,2838,1,7.951207156472972,0.6931471805599453,Cluster 1,Common Items
22,ACCESORIES_2_144,308,4,5.733341276897746,1.6094379124341003,Cluster 0,Emerging/Fading Items
23,HOME_&_GARDEN_1_302,511,1,6.238324625039508,0.6931471805599453,Cluster 4,New Items
24,HOME_&_GARDEN_1_328,6537,1,8.785386587284156,0.6931471805599453,Cluster 2,Hot Items
25,ACCESORIES_1_218,374,1,5.926926025970411,0.6931471805599453,Cluster 4,New Items
26,SUPERMARKET_1_052,1412,1,7.253470382684528,0.6931471805599453,Cluster 1,Common Items
27,ACCESORIES_1_233,15023,1,9.617404201448045,0.6931471805599453,Cluster 2,Hot Items
28,SUPERMARKET_3_701,1275,2,7.151485463904735,1.0986122886681098,Cluster 1,Common Items
