,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
24392,ACCESORIES_1_001,115,1,4.7535901911063645,0.6931471805599453,Cluster 4,New Items
24393,ACCESORIES_1_002,780,8,6.660575149839686,2.1972245773362196,Cluster 0,Emerging/Fading Items
24394,ACCESORIES_1_003,107,4,4.68213122712422,1.6094379124341003,Cluster 0,Emerging/Fading Items
24395,ACCESORIES_1_004,573,2,6.352629396319567,1.0986122886681098,Cluster 4,New Items
24396,ACCESORIES_1_005,595,1,6.39024066706535,0.6931471805599453,Cluster 4,New Items
24397,ACCESORIES_1_006,838,7,6.732210706467206,2.0794415416798357,Cluster 0,Emerging/Fading Items
24398,ACCESORIES_1_007,211,1,5.356586274672012,0.6931471805599453,Cluster 4,New Items
24399,ACCESORIES_1_008,5696,2,8.647694999480395,1.0986122886681098,Cluster 2,Hot Items
24400,ACCESORIES_1_009,511,10,6.238324625039508,2.3978952727983707,Cluster 0,Emerging/Fading Items
24401,ACCESORIES_1_010,815,1,6.704414354964107,0.6931471805599453,Cluster 4,New Items
24402,ACCESORIES_1_011,95,2,4.564348191467836,1.0986122886681098,Cluster 4,New Items
24403,ACCESORIES_1_012,446,4,6.102558594613569,1.6094379124341003,Cluster 0,Emerging/Fading Items
24404,ACCESORIES_1_013,490,1,6.19644412779452,0.6931471805599453,Cluster 4,New Items
24405,ACCESORIES_1_014,4794,2,8.475328987317539,1.0986122886681098,Cluster 2,Hot Items
24406,ACCESORIES_1_015,2477,1,7.815207062189088,0.6931471805599453,Cluster 1,Common Items
24407,ACCESORIES_1_016,2560,3,7.848153086199526,1.3862943611198906,Cluster 1,Common Items
24408,ACCESORIES_1_017,895,1,6.79794041297493,0.6931471805599453,Cluster 1,Common Items
24409,ACCESORIES_1_018,115,6,4.7535901911063645,1.9459101490553132,Cluster 0,Emerging/Fading Items
24410,ACCESORIES_1_019,1626,2,7.394493107219038,1.0986122886681098,Cluster 1,Common Items
24411,ACCESORIES_1_020,161,2,5.087596335232384,1.0986122886681098,Cluster 4,New Items
24412,ACCESORIES_1_021,291,1,5.676753802268282,0.6931471805599453,Cluster 4,New Items
24413,ACCESORIES_1_022,719,15,6.579251212010101,2.772588722239781,Cluster 0,Emerging/Fading Items
24414,ACCESORIES_1_023,987,6,6.895682697747868,1.9459101490553132,Cluster 0,Emerging/Fading Items
24415,ACCESORIES_1_024,341,4,5.834810737062605,1.6094379124341003,Cluster 0,Emerging/Fading Items
24416,ACCESORIES_1_025,554,108,6.318968113746434,4.6913478822291435,Cluster 3,Bad/Old Items
24417,ACCESORIES_1_026,359,1,5.886104031450156,0.6931471805599453,Cluster 4,New Items
24418,ACCESORIES_1_027,271,2,5.605802066295998,1.0986122886681098,Cluster 4,New Items
24419,ACCESORIES_1_028,428,5,6.061456918928017,1.791759469228055,Cluster 0,Emerging/Fading Items
24420,ACCESORIES_1_029,646,2,6.472346294500901,1.0986122886681098,Cluster 4,New Items
24421,ACCESORIES_1_030,1323,1,7.188412736496954,0.6931471805599453,Cluster 1,Common Items
24422,ACCESORIES_1_031,470,2,6.154858094016418,1.0986122886681098,Cluster 4,New Items
24423,ACCESORIES_1_032,6377,1,8.760609847570002,0.6931471805599453,Cluster 2,Hot Items
24424,ACCESORIES_1_033,273,5,5.6131281063880705,1.791759469228055,Cluster 0,Emerging/Fading Items
24425,ACCESORIES_1_034,342,1,5.8377304471659395,0.6931471805599453,Cluster 4,New Items
24426,ACCESORIES_1_035,247,1,5.5134287461649825,0.6931471805599453,Cluster 4,New Items
24427,ACCESORIES_1_036,407,2,6.0112671744041615,1.0986122886681098,Cluster 4,New Items
24428,ACCESORIES_1_037,500,2,6.2166061010848646,1.0986122886681098,Cluster 4,New Items
24429,ACCESORIES_1_038,504,11,6.22455842927536,2.4849066497880004,Cluster 0,Emerging/Fading Items
24430,ACCESORIES_1_039,176,17,5.176149732573829,2.8903717578961645,Cluster 0,Emerging/Fading Items
24431,ACCESORIES_1_040,725,4,6.587550014824796,1.6094379124341003,Cluster 0,Emerging/Fading Items
24432,ACCESORIES_1_041,424,2,6.052089168924417,1.0986122886681098,Cluster 4,New Items
24433,ACCESORIES_1_042,609,1,6.413458957167357,0.6931471805599453,Cluster 4,New Items
24434,ACCESORIES_1_043,3470,3,8.152198015861787,1.3862943611198906,Cluster 1,Common Items
24435,ACCESORIES_1_044,766,2,6.642486801367256,1.0986122886681098,Cluster 4,New Items
24436,ACCESORIES_1_045,51,2,3.9512437185814275,1.0986122886681098,Cluster 4,New Items
24437,ACCESORIES_1_046,77,4,4.356708826689592,1.6094379124341003,Cluster 0,Emerging/Fading Items
24438,ACCESORIES_1_047,850,3,6.7464121285733745,1.3862943611198906,Cluster 4,New Items
24439,ACCESORIES_1_048,2521,1,7.8328075165248645,0.6931471805599453,Cluster 1,Common Items
24440,ACCESORIES_1_049,197,4,5.288267030694535,1.6094379124341003,Cluster 0,Emerging/Fading Items
24441,ACCESORIES_1_050,394,9,5.978885764901122,2.302585092994046,Cluster 0,Emerging/Fading Items
24442,ACCESORIES_1_051,174,1,5.1647859739235145,0.6931471805599453,Cluster 4,New Items
24443,ACCESORIES_1_052,79,7,4.382026634673881,2.0794415416798357,Cluster 0,Emerging/Fading Items
24444,ACCESORIES_1_053,184,3,5.220355825078324,1.3862943611198906,Cluster 4,New Items
24445,ACCESORIES_1_054,71,5,4.276666119016055,1.791759469228055,Cluster 0,Emerging/Fading Items
24446,ACCESORIES_1_055,1108,2,7.011213987350367,1.0986122886681098,Cluster 1,Common Items
24447,ACCESORIES_1_056,2066,1,7.633853559681768,0.6931471805599453,Cluster 1,Common Items
24448,ACCESORIES_1_057,829,1,6.721425700790643,0.6931471805599453,Cluster 4,New Items
24449,ACCESORIES_1_058,249,2,5.521460917862246,1.0986122886681098,Cluster 4,New Items
24450,ACCESORIES_1_060,245,4,5.5053315359323625,1.6094379124341003,Cluster 0,Emerging/Fading Items
24451,ACCESORIES_1_061,365,3,5.902633333401366,1.3862943611198906,Cluster 4,New Items
24452,ACCESORIES_1_062,122,1,4.812184355372417,0.6931471805599453,Cluster 4,New Items
24453,ACCESORIES_1_063,402,8,5.998936561946683,2.1972245773362196,Cluster 0,Emerging/Fading Items
24454,ACCESORIES_1_064,443,4,6.095824562432225,1.6094379124341003,Cluster 0,Emerging/Fading Items
24455,ACCESORIES_1_065,115,1,4.7535901911063645,0.6931471805599453,Cluster 4,New Items
24456,ACCESORIES_1_066,50,2,3.9318256327243257,1.0986122886681098,Cluster 4,New Items
24457,ACCESORIES_1_067,4694,2,8.454253391642363,1.0986122886681098,Cluster 2,Hot Items
24458,ACCESORIES_1_068,601,32,6.400257445308821,3.4965075614664802,Cluster 3,Bad/Old Items
24459,ACCESORIES_1_069,130,7,4.875197323201151,2.0794415416798357,Cluster 0,Emerging/Fading Items
24460,ACCESORIES_1_070,121,23,4.804021044733257,3.1780538303479458,Cluster 3,Bad/Old Items
24461,ACCESORIES_1_072,521,8,6.257667587882639,2.1972245773362196,Cluster 0,Emerging/Fading Items
24462,ACCESORIES_1_073,930,4,6.836259277277067,1.6094379124341003,Cluster 0,Emerging/Fading Items
24463,ACCESORIES_1_074,693,1,6.542471960506805,0.6931471805599453,Cluster 4,New Items
24464,ACCESORIES_1_075,392,1,5.973809611869261,0.6931471805599453,Cluster 4,New Items
24465,ACCESORIES_1_076,547,179,6.306275286948016,5.19295685089021,Cluster 3,Bad/Old Items
24466,ACCESORIES_1_077,172,2,5.153291594497779,1.0986122886681098,Cluster 4,New Items
24467,ACCESORIES_1_078,1077,1,6.982862751468942,0.6931471805599453,Cluster 1,Common Items
24468,ACCESORIES_1_079,1109,3,7.01211529430638,1.3862943611198906,Cluster 1,Common Items
24469,ACCESORIES_1_080,3509,3,8.163371316459912,1.3862943611198906,Cluster 1,Common Items
24470,ACCESORIES_1_081,266,4,5.58724865840025,1.6094379124341003,Cluster 0,Emerging/Fading Items
24471,ACCESORIES_1_082,145,42,4.983606621708336,3.7612001156935624,Cluster 3,Bad/Old Items
24472,ACCESORIES_1_083,180,4,5.198497031265826,1.6094379124341003,Cluster 0,Emerging/Fading Items
24473,ACCESORIES_1_084,817,2,6.706862336602747,1.0986122886681098,Cluster 4,New Items
24474,ACCESORIES_1_085,290,1,5.673323267171493,0.6931471805599453,Cluster 4,New Items
24475,ACCESORIES_1_086,388,2,5.963579343618446,1.0986122886681098,Cluster 4,New Items
24476,ACCESORIES_1_087,1022,3,6.930494765951626,1.3862943611198906,Cluster 1,Common Items
24477,ACCESORIES_1_088,268,14,5.594711379601839,2.70805020110221,Cluster 0,Emerging/Fading Items
24478,ACCESORIES_1_089,2106,1,7.653020413804189,0.6931471805599453,Cluster 1,Common Items
24479,ACCESORIES_1_090,1209,8,7.098375638590786,2.1972245773362196,Cluster 0,Emerging/Fading Items
24480,ACCESORIES_1_091,151,3,5.0238805208462765,1.3862943611198906,Cluster 4,New Items
24481,ACCESORIES_1_092,607,1,6.410174881966167,0.6931471805599453,Cluster 4,New Items
24482,ACCESORIES_1_093,154,7,5.043425116919247,2.0794415416798357,Cluster 0,Emerging/Fading Items
24483,ACCESORIES_1_094,191,17,5.2574953720277815,2.8903717578961645,Cluster 0,Emerging/Fading Items
24484,ACCESORIES_1_095,347,5,5.8522024797744745,1.791759469228055,Cluster 0,Emerging/Fading Items
24485,ACCESORIES_1_097,1524,1,7.329749689041512,0.6931471805599453,Cluster 1,Common Items
24486,ACCESORIES_1_098,425,3,6.054439346269371,1.3862943611198906,Cluster 4,New Items
24487,ACCESORIES_1_099,731,1,6.595780513961311,0.6931471805599453,Cluster 4,New Items
24488,ACCESORIES_1_100,473,5,6.161207321695077,1.791759469228055,Cluster 0,Emerging/Fading Items
24489,ACCESORIES_1_102,281,1,5.641907070938114,0.6931471805599453,Cluster 4,New Items
24490,ACCESORIES_1_103,3583,3,8.18423477409482,1.3862943611198906,Cluster 1,Common Items
24491,ACCESORIES_1_104,108,2,4.6913478822291435,1.0986122886681098,Cluster 4,New Items
24492,ACCESORIES_1_105,750,2,6.621405651764134,1.0986122886681098,Cluster 4,New Items
24493,ACCESORIES_1_106,233,19,5.455321115357702,2.995732273553991,Cluster 0,Emerging/Fading Items
24494,ACCESORIES_1_107,575,8,6.3561076606958915,2.1972245773362196,Cluster 0,Emerging/Fading Items
24495,ACCESORIES_1_108,2232,2,7.711101251840158,1.0986122886681098,Cluster 1,Common Items
24496,ACCESORIES_1_109,276,6,5.6240175061873385,1.9459101490553132,Cluster 0,Emerging/Fading Items
24497,ACCESORIES_1_110,149,14,5.0106352940962555,2.70805020110221,Cluster 0,Emerging/Fading Items
24498,ACCESORIES_1_111,256,1,5.54907608489522,0.6931471805599453,Cluster 4,New Items
24499,ACCESORIES_1_112,172,7,5.153291594497779,2.0794415416798357,Cluster 0,Emerging/Fading Items
24500,ACCESORIES_1_113,175,8,5.170483995038151,2.1972245773362196,Cluster 0,Emerging/Fading Items
24501,ACCESORIES_1_114,414,2,6.028278520230698,1.0986122886681098,Cluster 4,New Items
24502,ACCESORIES_1_115,1876,1,7.537430036586509,0.6931471805599453,Cluster 1,Common Items
24503,ACCESORIES_1_116,237,8,5.472270673671475,2.1972245773362196,Cluster 0,Emerging/Fading Items
24504,ACCESORIES_1_117,387,24,5.961005339623274,3.2188758248682006,Cluster 3,Bad/Old Items
