,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
9147,ACCESORIES_1_001,635,1,6.455198563340122,0.6931471805599453,Cluster 4,New Items
9148,ACCESORIES_1_002,323,1,5.780743515792329,0.6931471805599453,Cluster 4,New Items
9149,ACCESORIES_1_003,161,3,5.087596335232384,1.3862943611198906,Cluster 4,New Items
9150,ACCESORIES_1_004,1588,2,7.370860166536716,1.0986122886681098,Cluster 1,Common Items
9151,ACCESORIES_1_005,930,1,6.836259277277067,0.6931471805599453,Cluster 1,Common Items
9152,ACCESORIES_1_006,25,1,3.258096538021482,0.6931471805599453,Cluster 4,New Items
9153,ACCESORIES_1_007,352,8,5.8664680569332965,2.1972245773362196,Cluster 0,Emerging/Fading Items
9154,ACCESORIES_1_008,9150,1,9.121618441915379,0.6931471805599453,Cluster 2,Hot Items
9155,ACCESORIES_1_009,2465,1,7.81035268372429,0.6931471805599453,Cluster 1,Common Items
9156,ACCESORIES_1_010,485,1,6.186208623900494,0.6931471805599453,Cluster 4,New Items
9157,ACCESORIES_1_011,102,31,4.634728988229636,3.4657359027997265,Cluster 3,Bad/Old Items
9158,ACCESORIES_1_012,339,2,5.8289456176102075,1.0986122886681098,Cluster 4,New Items
9159,ACCESORIES_1_013,372,1,5.921578419643816,0.6931471805599453,Cluster 4,New Items
9160,ACCESORIES_1_014,2529,2,7.835974581721566,1.0986122886681098,Cluster 1,Common Items
9161,ACCESORIES_1_015,9792,1,9.189423123720795,0.6931471805599453,Cluster 2,Hot Items
9162,ACCESORIES_1_016,1339,423,7.200424892944957,6.049733455231958,Cluster 3,Bad/Old Items
9163,ACCESORIES_1_017,339,1,5.8289456176102075,0.6931471805599453,Cluster 4,New Items
9164,ACCESORIES_1_018,97,13,4.584967478670572,2.6390573296152584,Cluster 0,Emerging/Fading Items
9165,ACCESORIES_1_019,5776,1,8.661639795781266,0.6931471805599453,Cluster 2,Hot Items
9166,ACCESORIES_1_020,611,1,6.416732282512326,0.6931471805599453,Cluster 4,New Items
9167,ACCESORIES_1_021,504,4,6.22455842927536,1.6094379124341003,Cluster 0,Emerging/Fading Items
9168,ACCESORIES_1_022,213,1,5.365976015021851,0.6931471805599453,Cluster 4,New Items
9169,ACCESORIES_1_023,877,2,6.777646593635117,1.0986122886681098,Cluster 4,New Items
