,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
3049,ACCESORIES_1_001,542,1,6.297109319933935,0.6931471805599453,Cluster 4,New Items
3050,ACCESORIES_1_002,328,3,5.796057750765372,1.3862943611198906,Cluster 4,New Items
3051,ACCESORIES_1_003,145,2,4.983606621708336,1.0986122886681098,Cluster 4,New Items
3052,ACCESORIES_1_004,7503,1,8.92319149068606,0.6931471805599453,Cluster 2,Hot Items
3053,ACCESORIES_1_005,2039,1,7.620705086838262,0.6931471805599453,Cluster 1,Common Items
3054,ACCESORIES_1_006,1305,2,7.174724309836376,1.0986122886681098,Cluster 1,Common Items
3055,ACCESORIES_1_007,248,2,5.517452896464707,1.0986122886681098,Cluster 4,New Items
3056,ACCESORIES_1_008,7905,1,8.97537724385663,0.6931471805599453,Cluster 2,Hot Items
3057,ACCESORIES_1_009,1355,7,7.212294468500341,2.0794415416798357,Cluster 0,Emerging/Fading Items
3058,ACCESORIES_1_010,943,1,6.8501261661455,0.6931471805599453,Cluster 1,Common Items
3059,ACCESORIES_1_011,143,17,4.969813299576001,2.8903717578961645,Cluster 0,Emerging/Fading Items
3060,ACCESORIES_1_012,984,2,6.892641641172089,1.0986122886681098,Cluster 1,Common Items
3061,ACCESORIES_1_013,516,1,6.248042874508429,0.6931471805599453,Cluster 4,New Items
3062,ACCESORIES_1_014,1763,5,7.475339236566737,1.791759469228055,Cluster 0,Emerging/Fading Items
3063,ACCESORIES_1_015,13957,2,9.543808099577097,1.0986122886681098,Cluster 2,Hot Items
3064,ACCESORIES_1_016,8690,1,9.07004328643746,0.6931471805599453,Cluster 2,Hot Items
3065,ACCESORIES_1_017,1170,2,7.065613363597717,1.0986122886681098,Cluster 1,Common Items
3066,ACCESORIES_1_018,133,2,4.897839799950911,1.0986122886681098,Cluster 4,New Items
3067,ACCESORIES_1_019,5405,2,8.595264726836392,1.0986122886681098,Cluster 2,Hot Items
3068,ACCESORIES_1_020,535,6,6.284134161070802,1.9459101490553132,Cluster 0,Emerging/Fading Items
3069,ACCESORIES_1_021,808,1,6.695798917058491,0.6931471805599453,Cluster 4,New Items
3070,ACCESORIES_1_022,1039,9,6.946975992135418,2.302585092994046,Cluster 0,Emerging/Fading Items
