,item,frequency,recency,frequency_ln,recency_ln,Cluster,Cluster_name
12196,ACCESORIES_1_001,260,1,5.564520407322694,0.6931471805599453,Cluster 4,New Items
12197,ACCESORIES_1_002,220,1,5.3981627015177525,0.6931471805599453,Cluster 4,New Items
12198,ACCESORIES_1_003,99,12,4.605170185988092,2.5649493574615367,Cluster 0,Emerging/Fading Items
12199,ACCESORIES_1_004,2951,1,7.990238185720363,0.6931471805599453,Cluster 1,Common Items
12200,ACCESORIES_1_005,1124,1,7.025538314638521,0.6931471805599453,Cluster 1,Common Items
12201,ACCESORIES_1_006,584,1,6.371611847231857,0.6931471805599453,Cluster 4,New Items
12202,ACCESORIES_1_007,194,4,5.272999558563747,1.6094379124341003,Cluster 0,Emerging/Fading Items
12203,ACCESORIES_1_008,5662,1,8.641709066113805,0.6931471805599453,Cluster 2,Hot Items
12204,ACCESORIES_1_009,1220,1,7.107425474110705,0.6931471805599453,Cluster 1,Common Items
12205,ACCESORIES_1_010,983,1,6.891625897052253,0.6931471805599453,Cluster 1,Common Items
12206,ACCESORIES_1_011,118,1,4.77912349311153,0.6931471805599453,Cluster 4,New Items
12207,ACCESORIES_1_012,340,6,5.831882477283517,1.9459101490553132,Cluster 0,Emerging/Fading Items
12208,ACCESORIES_1_013,255,5,5.545177444479562,1.791759469228055,Cluster 0,Emerging/Fading Items
12209,ACCESORIES_1_014,3076,1,8.031710375322042,0.6931471805599453,Cluster 1,Common Items
12210,ACCESORIES_1_015,5322,1,8.579792333172758,0.6931471805599453,Cluster 2,Hot Items
12211,ACCESORIES_1_016,3720,1,8.221747728346623,0.6931471805599453,Cluster 1,Common Items
12212,ACCESORIES_1_017,1019,1,6.927557906278317,0.6931471805599453,Cluster 1,Common Items
12213,ACCESORIES_1_018,97,2,4.584967478670572,1.0986122886681098,Cluster 4,New Items
12214,ACCESORIES_1_019,3781,1,8.238008249218403,0.6931471805599453,Cluster 1,Common Items
12215,ACCESORIES_1_020,247,4,5.5134287461649825,1.6094379124341003,Cluster 0,Emerging/Fading Items
12216,ACCESORIES_1_021,426,1,6.056784013228625,0.6931471805599453,Cluster 4,New Items
12217,ACCESORIES_1_022,475,2,6.16541785423142,1.0986122886681098,Cluster 4,New Items
12218,ACCESORIES_1_023,2488,1,7.819636302367592,0.6931471805599453,Cluster 1,Common Items
12219,ACCESORIES_1_024,119,3,4.787491742782046,1.3862943611198906,Cluster 4,New Items
12220,ACCESORIES_1_025,494,9,6.20455776256869,2.302585092994046,Cluster 0,Emerging/Fading Items
12221,ACCESORIES_1_026,223,1,5.4116460518550396,0.6931471805599453,Cluster 4,New Items
12222,ACCESORIES_1_027,105,20,4.663439094112067,3.044522437723423,Cluster 0,Emerging/Fading Items
12223,ACCESORIES_1_028,577,1,6.359573868672378,0.6931471805599453,Cluster 4,New Items
12224,ACCESORIES_1_029,1584,1,7.368339686311381,0.6931471805599453,Cluster 1,Common Items
12225,ACCESORIES_1_030,2147,5,7.672292455628756,1.791759469228055,Cluster 0,Emerging/Fading Items
12226,ACCESORIES_1_031,505,3,6.226536669287466,1.3862943611198906,Cluster 4,New Items
12227,ACCESORIES_1_032,2758,8,7.922623574217286,2.1972245773362196,Cluster 0,Emerging/Fading Items
12228,ACCESORIES_1_033,181,2,5.204006687076795,1.0986122886681098,Cluster 4,New Items
12229,ACCESORIES_1_034,991,1,6.899723107284872,0.6931471805599453,Cluster 1,Common Items
12230,ACCESORIES_1_035,154,30,5.043425116919247,3.4339872044851463,Cluster 3,Bad/Old Items
12231,ACCESORIES_1_036,918,9,6.823286122355687,2.302585092994046,Cluster 0,Emerging/Fading Items
12232,ACCESORIES_1_037,2121,1,7.660114319173928,0.6931471805599453,Cluster 1,Common Items
12233,ACCESORIES_1_038,390,3,5.968707559985366,1.3862943611198906,Cluster 4,New Items
12234,ACCESORIES_1_039,167,2,5.123963979403259,1.0986122886681098,Cluster 4,New Items
12235,ACCESORIES_1_040,1627,1,7.395107546562485,0.6931471805599453,Cluster 1,Common Items
12236,ACCESORIES_1_041,375,26,5.929589143389895,3.295836866004329,Cluster 3,Bad/Old Items
12237,ACCESORIES_1_042,608,3,6.411818267709897,1.3862943611198906,Cluster 4,New Items
12238,ACCESORIES_1_043,4281,1,8.362175469149628,0.6931471805599453,Cluster 2,Hot Items
12239,ACCESORIES_1_044,580,18,6.364750756851911,2.9444389791664403,Cluster 0,Emerging/Fading Items
12240,ACCESORIES_1_045,54,57,4.007333185232471,4.060443010546419,Cluster 3,Bad/Old Items
12241,ACCESORIES_1_046,135,1,4.912654885736052,0.6931471805599453,Cluster 4,New Items
12242,ACCESORIES_1_047,1361,17,7.216709486709457,2.8903717578961645,Cluster 0,Emerging/Fading Items
12243,ACCESORIES_1_048,4247,1,8.354203562921775,0.6931471805599453,Cluster 1,Common Items
12244,ACCESORIES_1_049,250,2,5.5254529391317835,1.0986122886681098,Cluster 4,New Items
12245,ACCESORIES_1_050,452,3,6.115892125483034,1.3862943611198906,Cluster 4,New Items
12246,ACCESORIES_1_051,237,3,5.472270673671475,1.3862943611198906,Cluster 4,New Items
12247,ACCESORIES_1_052,61,43,4.127134385045092,3.784189633918261,Cluster 3,Bad/Old Items
12248,ACCESORIES_1_053,592,6,6.385194398997726,1.9459101490553132,Cluster 0,Emerging/Fading Items
12249,ACCESORIES_1_054,64,10,4.174387269895637,2.3978952727983707,Cluster 0,Emerging/Fading Items
12250,ACCESORIES_1_055,1855,1,7.526178913346146,0.6931471805599453,Cluster 1,Common Items
12251,ACCESORIES_1_056,1661,1,7.415776975415394,0.6931471805599453,Cluster 1,Common Items
12252,ACCESORIES_1_057,647,3,6.473890696352274,1.3862943611198906,Cluster 4,New Items
12253,ACCESORIES_1_058,262,9,5.572154032177765,2.302585092994046,Cluster 0,Emerging/Fading Items
12254,ACCESORIES_1_060,259,4,5.560681631015528,1.6094379124341003,Cluster 0,Emerging/Fading Items
12255,ACCESORIES_1_061,564,1,6.336825731146441,0.6931471805599453,Cluster 4,New Items
12256,ACCESORIES_1_062,60,16,4.110873864173311,2.833213344056216,Cluster 0,Emerging/Fading Items
12257,ACCESORIES_1_063,468,1,6.150602768446279,0.6931471805599453,Cluster 4,New Items
12258,ACCESORIES_1_064,1613,1,7.3864708488298945,0.6931471805599453,Cluster 1,Common Items
12259,ACCESORIES_1_065,100,13,4.61512051684126,2.6390573296152584,Cluster 0,Emerging/Fading Items
12260,ACCESORIES_1_066,112,7,4.727387818712341,2.0794415416798357,Cluster 0,Emerging/Fading Items
12261,ACCESORIES_1_067,4696,2,8.454679286026995,1.0986122886681098,Cluster 2,Hot Items
12262,ACCESORIES_1_068,632,2,6.450470422144176,1.0986122886681098,Cluster 4,New Items
12263,ACCESORIES_1_069,144,2,4.976733742420574,1.0986122886681098,Cluster 4,New Items
12264,ACCESORIES_1_070,150,8,5.017279836814924,2.1972245773362196,Cluster 0,Emerging/Fading Items
12265,ACCESORIES_1_072,538,6,6.289715570908998,1.9459101490553132,Cluster 0,Emerging/Fading Items
12266,ACCESORIES_1_073,627,1,6.4425401664681985,0.6931471805599453,Cluster 4,New Items
